showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
7/12/2023	0	Sandy City Ampitheater	Sandy	UT	United States	2700
7/22/2023	0	Paradise Cove Margaritaville	Tulsa	OK	United States	1992
7/23/2023	0	The Tobin Center For Performing Arts	San Antonio	TX	United States	2935
7/28/2023	0	Loeb Stadium	Lafayette	IN	United States	3300
7/29/2023	0	Honeywell Center	Wabash	IN	United States	2200
7/30/2023	0	Harrah'S Council Bluffs Hotel & Casino	Council Bluffs	IA	United States	3800
8/4/2023	0	Ocean Resort Casino - Ovation Hall	Atlantic City	NJ	United States	3029
8/5/2023	0	Nycb Theatre At Westbury	Westbury	NY	United States	3900
8/6/2023	0	American Music Theatre	Lancaster	PA	United States	1607
8/11/2023	0	Renfro Valley Old Barn Theater	Mt Vernon	KY	United States	1420
8/12/2023	0	Caesars Event Center At Caesars Southern Indiana	Elizabeth	IN	United States	1500
8/17/2023	0	"Fox Theater (Bakersfield, Ca)"	Bakersfield	CA	United States	1500
8/18/2023	0	Warnors Theatre	Fresno	CA	United States	2100
8/19/2023	0	The Fruit Yard Amphitheater	Modesto	CA	United States	3218
9/1/2023	2	Orleans Hotel & Casino	Las Vegas	NV	United States	1580
9/3/2023	2	Hollywood Bowl (Custom Merch)	Los Angeles	CA	United States	17500
9/9/2023	0	Mgm Northfield Park - Center Stage	Northfield	OH	United States	2500
9/10/2023	0	Ridgefield Playhouse	Ridgefield	CT	United States	500
9/21/2023	0	Bologna Performing Arts Center	Cleveland	MS	United States	1992
9/22/2023	0	Ip Casino Resort And Spa / Studio A	Biloxi	MS	United States	1992
10/6/2023	2	The Outdoor Music Center At HarrahÃ¢ÂS Hoosier Park	Anderson	IN	United States	15000
10/7/2023	2	Music Hall Center For The Performing Arts	Detroit	MI	United States	1600
10/8/2023	2	Steven Tanger Center For Performing Arts	Greensboro	NC	United States	3200
10/13/2023	0	Isleta Resort & Casino	Albuquerque	NM	United States	2500
10/20/2023	0	Grand Theater	Wausau	WI	United States	1785
10/21/2023	0	Crystal Grand Music Theatre	Wisconsin Dells	WI	United States	2000
10/27/2023	0	Humphreys Concerts By The Bay	San Diego	CA	United States	3000
10/28/2023	0	Thunder Valley Casino	Lincoln	CA	United States	4200
10/29/2023	0	City National Grove Of Anaheim	Anaheim	CA	United States	1700
11/3/2023	0	The Events Center At Harrah'S Ak-Chin Casino	Maricopa	AZ	United States	5000
11/5/2023	0	Simmons Bank Arena	North Little Rock	AR	United States	18000
11/9/2023	0	Plymouth Memorial Hall	Plymouth	MA	United States	1450
11/10/2023	1	Chevalier Theatre	Medford	MA	United States	1900
11/11/2023	1	The Theater At Mgm National Harbor	Oxon Hill	MD	United States	2727
11/17/2023	0	Twin River Casino	Lincoln	RI	United States	3500
11/18/2023	0	Parx Casino- Xcite Center	Bensalem	PA	United States	5000
11/19/2023	0	Chubb Theatre At Capitol Center For The Arts	Concord	NH	United States	1304
11/25/2023	0	Seneca Niagara Casino / Bear'S Den	Niagara Falls	NY	United States	4000
11/26/2023	0	New Jersey Performing Arts Center	Newark	NJ	United States	2868
4/15/2022	0	The Magnolia	El Cajon	CA	United States	1200
4/16/2022	0	Celebrity Theater	Phoenix	AZ	United States	2650
4/17/2022	0	Kiva Auditorium - Albuquerque Convention Center	Albuquerque	NM	United States	2100
4/19/2022	0	Pikes Peak Center	Colorado Springs	CO	United States	2012
4/21/2022	0	State Theatre	Minneapolis	MN	United States	1870
4/22/2022	0	Adler Theatre	Davenport	IA	United States	2400
4/23/2022	0	Genessee Theatre	Waukegan	IL	United States	1596
4/25/2022	0	Pabst Theater	Milwaukee	WI	United States	1339
4/26/2022	0	Schuster Center Mead Theatre	Dayton	OH	United States	2400
4/27/2022	0	Royal Oak Music Theatre	Royal Oak	MI	United States	1700
4/30/2022	0	The Wellmont Theater	Montclair	NJ	United States	2600
5/2/2022	0	Cruise To The Edge	Cornelius	NC	United States	1500
1/27/2022	0	The Florida Theatre	Jacksonville	FL	United States	1200
1/29/2022	0	Ruth Eckerd Hall	Clearwater	FL	United States	2180
1/30/2022	0	Broward Center For The Performing Arts Center	Fort Lauderdale	FL	United States	2688
2/1/2022	0	Atlanta Symphony Orchestra	Atlanta	GA	United States	1762
2/2/2022	0	Charleston Music Hall	Charleston	SC	United States	1200
2/3/2022	0	Carolina Theatre Of Durham	Durham	NC	United States	1048
2/7/2022	0	Paramount Theatre	Austin	TX	United States	3040
3/12/2022	0	The Palladium	Worcester	MA	United States	3700
3/13/2022	0	Higher Ground Ballroom	South Burlington	VT	United States	1200
3/14/2022	0	Rapids Theatre	Niagara Falls	NY	United States	450
3/16/2022	0	House Of Blues	Cleveland	OH	United States	2500
3/17/2022	0	The Machine Shop	Flint	MI	United States	1000
3/18/2022	0	The Machine Shop	Flint	MI	United States	1000
3/19/2022	0	Bogarts	Cincinnati	OH	United States	1500
3/21/2022	0	The King Of Clubs	Columbus	OH	United States	650
3/24/2022	0	Pieres Entertainment Center	Fort Wayne	IN	United States	4000
3/25/2022	0	Pop'S	Sauget	IL	United States	787
3/26/2022	0	Rust Belt	East Moline	IL	United States	4100
3/27/2022	0	The Forge	Joliet	IL	United States	900
3/30/2022	0	Epic Event Center	Green Bay	WI	United States	2500
3/31/2022	0	Skyway Theatre	Minneapolis	MN	United States	1200
4/1/2022	0	Hard Rock Hotel & Casino - Anthem	Sioux City	IA	United States	3500
4/2/2022	0	Q Casino	Dubuque	IA	United States	2000
4/4/2022	0	The Cotillion	Wichita	KS	United States	2500
4/5/2022	0	Oriental Theater	Denver	CO	United States	2300
4/7/2022	0	The Depot	Salt Lake City	UT	United States	1200
4/8/2022	0	Knitting Factory	Boise	ID	United States	719
4/9/2022	0	Midtown Ballroom	Bend	OR	United States	800
4/10/2022	0	Roseland Theater	Portland	OR	United States	1400
4/12/2022	0	The Elm	Bozeman	MT	United States	1100
4/13/2022	0	The Knitting Factory	Spokane	WA	United States	702
4/14/2022	0	El Corazon	Seattle	WA	United States	800
4/18/2022	0	Ace Of Spades	Sacramento	CA	United States	1000
4/24/2022	0	Sunshine Studios Live	Colorado Springs	CO	United States	666
4/28/2022	0	Amplified Live	Dallas	TX	United States	1200
4/29/2022	0	Come And Take It Live	Austin	TX	United States	900
5/3/2022	0	Jannus Live	Saint Petersburg	FL	United States	2000
5/4/2022	0	House Of Blues	Lake Buena Vista	FL	United States	2500
5/5/2022	0	Revolution Live	Fort Lauderdale	FL	United States	1300
5/7/2022	0	The Blind Tiger	Greensboro	NC	United States	800
5/8/2022	0	The Neighborhood Theatre - Side	Charlotte	NC	United States	500
5/9/2022	0	Buckhead Theatre	Atlanta	GA	United States	1800
5/10/2022	0	Mercy Lounge / Cannery Ballroom	Nashville	TN	United States	600
5/12/2022	0	Hi-Fi Annex (Behind Hi-Fi)	Indianapolis	IN	United States	350
5/13/2022	0	Jergel'S Rhythm Grille	Warrendale	PA	United States	700
5/14/2022	0	Hmac	Harrisburg	PA	United States	820
5/15/2022	0	Baltimore Sound Stage	Baltimore	MD	United States	1000
5/17/2022	0	One Centre Square	Easton	PA	United States	2000
5/18/2022	0	The Wellmont Theater	Montclair	NJ	United States	2600
5/19/2022	0	Paramount Theatre	Huntington	NY	United States	3040
5/20/2022	0	Webster Theatre	Hartford	CT	United States	1750
4/11/2022	0	House Of Blues	Dallas	TX	United States	2500
5/1/2022	0	Webster Theatre	Hartford	CT	United States	1750
9/6/2022	0	Georgia Theatre	Athens	GA	United States	1000
9/7/2022	0	The Underground At Fillmore Charlotte	Charlotte	NC	United States	1000
9/8/2022	0	The Orange Peel	Asheville	NC	United States	1050
9/9/2022	0	Baltimore Sound Stage	Baltimore	MD	United States	1000
9/11/2022	0	Harrisburg Midtown Arts	Harrisburg	PA	United States	1200
9/13/2022	0	State Theatre	Portland	ME	United States	1870
9/14/2022	0	Paramount Theatre	Huntington	NY	United States	3040
9/15/2022	0	The Wellmont Theater	Montclair	NJ	United States	2600
9/16/2022	0	Theatre Of Living Arts	Philadelphia	PA	United States	2800
9/17/2022	0	The Town Ballroom	Buffalo	NY	United States	700
9/18/2022	0	House Of Blues Cleveland	Cleveland	OH	United States	1700
9/19/2022	0	Piere'S	Fort Wayne	IN	United States	1800
9/21/2022	0	The Intersection	Grand Rapids	MI	United States	1000
9/23/2022	0	Brooklyn Bowl Nashville	Nashville	TN	United States	1500
9/24/2022	0	The Vogue Theatre	Indianapolis	IN	United States	1500
9/25/2022	0	The Rave / Eagles Club	Milwaukee	WI	United States	2500
9/26/2022	0	Pop'S Concert Venue	East Saint Louis	IL	United States	300
9/27/2022	0	Liberty Hall	Lawrence	KS	United States	800
9/28/2022	0	Summit Music Hall	Denver	CO	United States	1200
9/30/2022	0	Rialto Theatre	Tucson	AZ	United States	1200
10/1/2022	0	The Observatory North Park	San Diego	CA	United States	1200
10/2/2022	0	The Observatory	Santa Ana	CA	United States	1100
10/4/2022	0	Brooklyn Bowl Vegas	Las Vegas	NV	United States	3000
10/5/2022	0	Majestic Ventura Theater - Half House	Ventura	CA	United States	750
10/6/2022	0	The Catalyst Club	Santa Cruz	CA	United States	400
9/17/2023	0	The Fillmore	Charlotte	NC	United States	1426
9/18/2023	0	Brooklyn Bowl Nashville	Nashville	TN	United States	1500
9/19/2023	0	Tabernacle	Atlanta	GA	United States	3000
9/23/2023	0	Revolution Live	Fort Lauderdale	FL	United States	1300
9/24/2023	0	House Of Blues	Lake Buena Vista	FL	United States	2500
9/26/2023	0	Stubb'S Bbq	Austin	TX	United States	1600
9/27/2023	0	Bayou Music Center	Houston	AK	United States	3464
9/28/2023	0	Toyota Music Factory	Irving	TX	United States	4000
9/30/2023	0	The Van Buren	Phoenix	AZ	United States	1800
10/1/2023	0	Hollywood Palladium	Los Angeles	CA	United States	5000
10/2/2023	0	House Of Blues (Las Vegas)	Las Vegas	NV	United States	1800
10/4/2023	0	Soma	San Diego	CA	United States	1085
10/11/2023	0	Paramount Theatre	Seattle	WA	United States	3040
10/14/2023	0	The Fillmore Auditorium	Denver	CO	United States	2000
10/16/2023	0	The Fillmore Minneapolis	Minneapolis	MN	United States	1850
10/18/2023	0	"The Sylvee- Madison, Wi"	Madison	WI	United States	2500
10/19/2023	0	Byline Bank Aragon Ballroom	Chicago	IL	United States	5000
10/22/2023	0	The Fillmore	Detroit	MI	United States	1426
10/23/2023	0	Roxian Theatre	Mckees Rocks	PA	United States	1400
10/26/2023	0	Mgm Music Hall At Fenway	Boston	MA	United States	5500
10/30/2023	0	The Fillmore Philladephina	Philadelphia	PA	United States	3000
10/31/2023	0	The Fillmore	Silver Spring	MD	United States	1426
11/1/2023	0	The Ritz	Raleigh	NC	United States	1800
